state,stage,sex,date,completion,year
Johor,primary,both,1/1/2016,99.06,2016
Johor,primary,both,1/1/2017,99.14,2017
Johor,primary,both,1/1/2018,97.56,2018
Johor,primary,both,1/1/2019,97.7,2019
Johor,primary,both,1/1/2020,98.2,2020
Johor,primary,both,1/1/2021,95.5,2021
Johor,primary,both,1/1/2022,99,2022
Johor,primary,female,1/1/2016,99.48,2016
Johor,primary,female,1/1/2017,99.71,2017
Johor,primary,female,1/1/2018,98.2,2018
Johor,primary,female,1/1/2019,98.2,2019
Johor,primary,female,1/1/2020,98.9,2020
Johor,primary,female,1/1/2021,99.7,2021
Johor,primary,female,1/1/2022,99.3,2022
Johor,primary,male,1/1/2016,98.67,2016
Johor,primary,male,1/1/2017,98.59,2017
Johor,primary,male,1/1/2018,96.97,2018
Johor,primary,male,1/1/2019,97.2,2019
Johor,primary,male,1/1/2020,97.6,2020
Johor,primary,male,1/1/2021,91.8,2021
Johor,primary,male,1/1/2022,98.7,2022
Johor,secondary_lower,both,1/1/2016,94.7645,2016
Johor,secondary_lower,both,1/1/2017,99.5251,2017
Johor,secondary_lower,both,1/1/2018,99.6891,2018
Johor,secondary_lower,both,1/1/2019,95.2,2019
Johor,secondary_lower,both,1/1/2020,96.9,2020
Johor,secondary_lower,both,1/1/2021,97.9,2021
Johor,secondary_lower,both,1/1/2022,100.1,2022
Johor,secondary_lower,female,1/1/2016,96.7463,2016
Johor,secondary_lower,female,1/1/2017,100.5709,2017
Johor,secondary_lower,female,1/1/2018,99.4141,2018
Johor,secondary_lower,female,1/1/2019,96.8,2019
Johor,secondary_lower,female,1/1/2020,98.3,2020
Johor,secondary_lower,female,1/1/2021,98.4,2021
Johor,secondary_lower,female,1/1/2022,97.6,2022
Johor,secondary_lower,male,1/1/2016,92.884,2016
Johor,secondary_lower,male,1/1/2017,98.5141,2017
Johor,secondary_lower,male,1/1/2018,99.9562,2018
Johor,secondary_lower,male,1/1/2019,93.5,2019
Johor,secondary_lower,male,1/1/2020,95.6,2020
Johor,secondary_lower,male,1/1/2021,97.4,2021
Johor,secondary_lower,male,1/1/2022,102.5,2022
Johor,secondary_upper,both,1/1/2016,99.5156,2016
Johor,secondary_upper,both,1/1/2017,99.2906,2017
Johor,secondary_upper,both,1/1/2018,93.7421,2018
Johor,secondary_upper,both,1/1/2019,98,2019
Johor,secondary_upper,both,1/1/2020,89.2,2020
Johor,secondary_upper,both,1/1/2021,97,2021
Johor,secondary_upper,both,1/1/2022,98.1,2022
Johor,secondary_upper,female,1/1/2016,99.9629,2016
Johor,secondary_upper,female,1/1/2017,100.545,2017
Johor,secondary_upper,female,1/1/2018,94.899,2018
Johor,secondary_upper,female,1/1/2019,98.6,2019
Johor,secondary_upper,female,1/1/2020,90.1,2020
Johor,secondary_upper,female,1/1/2021,97.2,2021
Johor,secondary_upper,female,1/1/2022,98.5,2022
Johor,secondary_upper,male,1/1/2016,99.0459,2016
Johor,secondary_upper,male,1/1/2017,97.966,2017
Johor,secondary_upper,male,1/1/2018,92.5617,2018
Johor,secondary_upper,male,1/1/2019,97.4,2019
Johor,secondary_upper,male,1/1/2020,88.3,2020
Johor,secondary_upper,male,1/1/2021,96.8,2021
Johor,secondary_upper,male,1/1/2022,97.8,2022
Kedah,primary,both,1/1/2016,99.97,2016
Kedah,primary,both,1/1/2017,100.12,2017
Kedah,primary,both,1/1/2018,100.34,2018
Kedah,primary,both,1/1/2019,100.2,2019
Kedah,primary,both,1/1/2020,100.1,2020
Kedah,primary,both,1/1/2021,97.2,2021
Kedah,primary,both,1/1/2022,101.1,2022
Kedah,primary,female,1/1/2016,100.85,2016
Kedah,primary,female,1/1/2017,100.84,2017
Kedah,primary,female,1/1/2018,101.4,2018
Kedah,primary,female,1/1/2019,100.8,2019
Kedah,primary,female,1/1/2020,100.9,2020
Kedah,primary,female,1/1/2021,99.3,2021
Kedah,primary,female,1/1/2022,102.4,2022
Kedah,primary,male,1/1/2016,99.11,2016
Kedah,primary,male,1/1/2017,99.43,2017
Kedah,primary,male,1/1/2018,99.33,2018
Kedah,primary,male,1/1/2019,99.6,2019
Kedah,primary,male,1/1/2020,99.3,2020
Kedah,primary,male,1/1/2021,95.3,2021
Kedah,primary,male,1/1/2022,99.8,2022
Kedah,secondary_lower,both,1/1/2016,95.9472,2016
Kedah,secondary_lower,both,1/1/2017,97.3087,2017
Kedah,secondary_lower,both,1/1/2018,96.3721,2018
Kedah,secondary_lower,both,1/1/2019,96.1,2019
Kedah,secondary_lower,both,1/1/2020,96.8,2020
Kedah,secondary_lower,both,1/1/2021,100.3,2021
Kedah,secondary_lower,both,1/1/2022,99.4,2022
Kedah,secondary_lower,female,1/1/2016,97.6341,2016
Kedah,secondary_lower,female,1/1/2017,97.6467,2017
Kedah,secondary_lower,female,1/1/2018,97.7081,2018
Kedah,secondary_lower,female,1/1/2019,98.1,2019
Kedah,secondary_lower,female,1/1/2020,98.6,2020
Kedah,secondary_lower,female,1/1/2021,100.9,2021
Kedah,secondary_lower,female,1/1/2022,99.2,2022
Kedah,secondary_lower,male,1/1/2016,94.3062,2016
Kedah,secondary_lower,male,1/1/2017,96.9697,2017
Kedah,secondary_lower,male,1/1/2018,95.0751,2018
Kedah,secondary_lower,male,1/1/2019,94.1,2019
Kedah,secondary_lower,male,1/1/2020,95,2020
Kedah,secondary_lower,male,1/1/2021,99.7,2021
Kedah,secondary_lower,male,1/1/2022,99.6,2022
Kedah,secondary_upper,both,1/1/2016,99.0933,2016
Kedah,secondary_upper,both,1/1/2017,97.451,2017
Kedah,secondary_upper,both,1/1/2018,95.7661,2018
Kedah,secondary_upper,both,1/1/2019,96.6,2019
Kedah,secondary_upper,both,1/1/2020,96.7,2020
Kedah,secondary_upper,both,1/1/2021,100.5,2021
Kedah,secondary_upper,both,1/1/2022,99.2,2022
Kedah,secondary_upper,female,1/1/2016,98.8679,2016
Kedah,secondary_upper,female,1/1/2017,98.573,2017
Kedah,secondary_upper,female,1/1/2018,97.5336,2018
Kedah,secondary_upper,female,1/1/2019,97.9,2019
Kedah,secondary_upper,female,1/1/2020,97.9,2020
Kedah,secondary_upper,female,1/1/2021,100,2021
Kedah,secondary_upper,female,1/1/2022,99.6,2022
Kedah,secondary_upper,male,1/1/2016,99.3418,2016
Kedah,secondary_upper,male,1/1/2017,96.2206,2017
Kedah,secondary_upper,male,1/1/2018,93.9202,2018
Kedah,secondary_upper,male,1/1/2019,95.3,2019
Kedah,secondary_upper,male,1/1/2020,95.5,2020
Kedah,secondary_upper,male,1/1/2021,101.2,2021
Kedah,secondary_upper,male,1/1/2022,98.7,2022
Kelantan,primary,both,1/1/2016,100.32,2016
Kelantan,primary,both,1/1/2017,100.17,2017
Kelantan,primary,both,1/1/2018,99.32,2018
Kelantan,primary,both,1/1/2019,99.9,2019
Kelantan,primary,both,1/1/2020,99.5,2020
Kelantan,primary,both,1/1/2021,100.2,2021
Kelantan,primary,both,1/1/2022,98.2,2022
Kelantan,primary,female,1/1/2016,101.49,2016
Kelantan,primary,female,1/1/2017,101.41,2017
Kelantan,primary,female,1/1/2018,100.59,2018
Kelantan,primary,female,1/1/2019,101.1,2019
Kelantan,primary,female,1/1/2020,101.5,2020
Kelantan,primary,female,1/1/2021,101.8,2021
Kelantan,primary,female,1/1/2022,99.2,2022
Kelantan,primary,male,1/1/2016,99.2,2016
Kelantan,primary,male,1/1/2017,99,2017
Kelantan,primary,male,1/1/2018,98.12,2018
Kelantan,primary,male,1/1/2019,98.7,2019
Kelantan,primary,male,1/1/2020,97.6,2020
Kelantan,primary,male,1/1/2021,98.7,2021
Kelantan,primary,male,1/1/2022,97.3,2022
Kelantan,secondary_lower,both,1/1/2016,96.242,2016
Kelantan,secondary_lower,both,1/1/2017,94.65,2017
Kelantan,secondary_lower,both,1/1/2018,85.9723,2018
Kelantan,secondary_lower,both,1/1/2019,98,2019
Kelantan,secondary_lower,both,1/1/2020,109.9,2020
Kelantan,secondary_lower,both,1/1/2021,111.7,2021
Kelantan,secondary_lower,both,1/1/2022,99,2022
Kelantan,secondary_lower,female,1/1/2016,96.6945,2016
Kelantan,secondary_lower,female,1/1/2017,96.9235,2017
Kelantan,secondary_lower,female,1/1/2018,86.3164,2018
Kelantan,secondary_lower,female,1/1/2019,98.8,2019
Kelantan,secondary_lower,female,1/1/2020,112.9,2020
Kelantan,secondary_lower,female,1/1/2021,112.9,2021
Kelantan,secondary_lower,female,1/1/2022,98.7,2022
Kelantan,secondary_lower,male,1/1/2016,95.7847,2016
Kelantan,secondary_lower,male,1/1/2017,92.3972,2017
Kelantan,secondary_lower,male,1/1/2018,85.6336,2018
Kelantan,secondary_lower,male,1/1/2019,97.1,2019
Kelantan,secondary_lower,male,1/1/2020,107,2020
Kelantan,secondary_lower,male,1/1/2021,110.5,2021
Kelantan,secondary_lower,male,1/1/2022,99.4,2022
Kelantan,secondary_upper,both,1/1/2016,98.4254,2016
Kelantan,secondary_upper,both,1/1/2017,96.8805,2017
Kelantan,secondary_upper,both,1/1/2018,88.4185,2018
Kelantan,secondary_upper,both,1/1/2019,109.2,2019
Kelantan,secondary_upper,both,1/1/2020,97.7,2020
Kelantan,secondary_upper,both,1/1/2021,100.3,2021
Kelantan,secondary_upper,both,1/1/2022,99.4,2022
Kelantan,secondary_upper,female,1/1/2016,97.9233,2016
Kelantan,secondary_upper,female,1/1/2017,98.8592,2017
Kelantan,secondary_upper,female,1/1/2018,87.4555,2018
Kelantan,secondary_upper,female,1/1/2019,111.7,2019
Kelantan,secondary_upper,female,1/1/2020,98.6,2020
Kelantan,secondary_upper,female,1/1/2021,99.6,2021
Kelantan,secondary_upper,female,1/1/2022,98.8,2022
Kelantan,secondary_upper,male,1/1/2016,98.9638,2016
Kelantan,secondary_upper,male,1/1/2017,94.7214,2017
Kelantan,secondary_upper,male,1/1/2018,89.4737,2018
Kelantan,secondary_upper,male,1/1/2019,106.7,2019
Kelantan,secondary_upper,male,1/1/2020,96.8,2020
Kelantan,secondary_upper,male,1/1/2021,101.1,2021
Kelantan,secondary_upper,male,1/1/2022,100,2022
Melaka,primary,both,1/1/2016,98.92,2016
Melaka,primary,both,1/1/2017,98.87,2017
Melaka,primary,both,1/1/2018,98.92,2018
Melaka,primary,both,1/1/2019,98.7,2019
Melaka,primary,both,1/1/2020,98.5,2020
Melaka,primary,both,1/1/2021,95.1,2021
Melaka,primary,both,1/1/2022,99.5,2022
Melaka,primary,female,1/1/2016,100.17,2016
Melaka,primary,female,1/1/2017,99.92,2017
Melaka,primary,female,1/1/2018,99.17,2018
Melaka,primary,female,1/1/2019,100.3,2019
Melaka,primary,female,1/1/2020,99.2,2020
Melaka,primary,female,1/1/2021,96.8,2021
Melaka,primary,female,1/1/2022,100.3,2022
Melaka,primary,male,1/1/2016,97.73,2016
Melaka,primary,male,1/1/2017,97.87,2017
Melaka,primary,male,1/1/2018,98.67,2018
Melaka,primary,male,1/1/2019,97.2,2019
Melaka,primary,male,1/1/2020,97.7,2020
Melaka,primary,male,1/1/2021,93.5,2021
Melaka,primary,male,1/1/2022,98.7,2022
Melaka,secondary_lower,both,1/1/2016,99.0276,2016
Melaka,secondary_lower,both,1/1/2017,98.5646,2017
Melaka,secondary_lower,both,1/1/2018,99.9172,2018
Melaka,secondary_lower,both,1/1/2019,98.7,2019
Melaka,secondary_lower,both,1/1/2020,97.8,2020
Melaka,secondary_lower,both,1/1/2021,98.1,2021
Melaka,secondary_lower,both,1/1/2022,98.9,2022
Melaka,secondary_lower,female,1/1/2016,99.9568,2016
Melaka,secondary_lower,female,1/1/2017,99.2662,2017
Melaka,secondary_lower,female,1/1/2018,100.0305,2018
Melaka,secondary_lower,female,1/1/2019,98.5,2019
Melaka,secondary_lower,female,1/1/2020,98.6,2020
Melaka,secondary_lower,female,1/1/2021,99.2,2021
Melaka,secondary_lower,female,1/1/2022,99.3,2022
Melaka,secondary_lower,male,1/1/2016,98.1113,2016
Melaka,secondary_lower,male,1/1/2017,97.8447,2017
Melaka,secondary_lower,male,1/1/2018,99.8065,2018
Melaka,secondary_lower,male,1/1/2019,98.9,2019
Melaka,secondary_lower,male,1/1/2020,96.9,2020
Melaka,secondary_lower,male,1/1/2021,97.1,2021
Melaka,secondary_lower,male,1/1/2022,98.6,2022
Melaka,secondary_upper,both,1/1/2016,99.2746,2016
Melaka,secondary_upper,both,1/1/2017,97.8254,2017
Melaka,secondary_upper,both,1/1/2018,98.245,2018
Melaka,secondary_upper,both,1/1/2019,97,2019
