"state","stage","sex","date","completion","year","latitude","longitude"
"Johor","secondary_upper","both","2021-01-01",97,2021,2.00649,103.412
"Kedah","secondary_upper","both","2021-01-01",100.5,2021,5.80958,100.647
"Kelantan","secondary_upper","both","2021-01-01",100.3,2021,5.40349,102.005
"Melaka","secondary_upper","both","2021-01-01",98.2,2021,2.32162,102.293
"Negeri Sembilan","secondary_upper","both","2021-01-01",98.6,2021,2.70857,102.149
"Pahang","secondary_upper","both","2021-01-01",99.6,2021,3.84557,102.491
"Perak","secondary_upper","both","2021-01-01",98.8,2021,4.74737,101.059
"Perlis","secondary_upper","both","2021-01-01",97.4,2021,6.52169,100.253
"Pulau Pinang","secondary_upper","both","2021-01-01",95.5,2021,5.36839,100.261
"Sabah","secondary_upper","both","2021-01-01",98.7,2021,5.31115,117.095
"Sarawak","secondary_upper","both","2021-01-01",97.5,2021,2.44952,113.344
"Selangor","secondary_upper","both","2021-01-01",95.6,2021,3.3078,101.428
"Terengganu","secondary_upper","both","2021-01-01",100.5,2021,4.94214,103.013
"W.P. Kuala Lumpur","secondary_upper","both","2021-01-01",94.7,2021,3.13836,101.698
"W.P. Labuan","secondary_upper","both","2021-01-01",96,2021,5.32524,115.222
"W.P. Putrajaya","secondary_upper","both","2021-01-01",93.7,2021,2.93814,101.706
