Year,Sex,State,Number_of_teachers
2000,Female,Malaysia,70020
2000,Female,Johor,7708
2000,Female,Kedah,5321
2000,Female,Kelantan,4307
2000,Female,Melaka,2247
2000,Female,Negeri Sembilan,3399
2000,Female,Pahang,4404
2000,Female,Perak,7036
2000,Female,Perlis,770
2000,Female,Pulau Pinang,4151
2000,Female,Sabah ,5300
2000,Female,Sarawak,5654
2000,Female,Selangor,11236
2000,Female,Terengganu,3581
2000,Female,W.P. Kuala Lumpur,4906
2000,Female,W.P. Labuan,0
2000,Female,W.P. Putrajaya,0
2000,Male,Malaysia,43229
2000,Male,Johor,5255
2000,Male,Kedah,3989
2000,Male,Kelantan,3970
2000,Male,Melaka,1569
2000,Male,Negeri Sembilan,1976
2000,Male,Pahang,2880
2000,Male,Perak,5314
2000,Male,Perlis,639
2000,Male,Pulau Pinang,2153
2000,Male,Sabah ,4332
2000,Male,Sarawak,4032
2000,Male,Selangor,3369
2000,Male,Terengganu,2538
2000,Male,W.P. Kuala Lumpur,1213
2000,Male,W.P. Labuan,0
2000,Male,W.P. Putrajaya,0
2001,Female,Malaysia,74753
2001,Female,Johor,8477
2001,Female,Kedah,5522
2001,Female,Kelantan,4716
2001,Female,Melaka,2352
2001,Female,Negeri Sembilan,3627
2001,Female,Pahang,4630
2001,Female,Perak,7594
2001,Female,Perlis,918
2001,Female,Pulau Pinang,4386
2001,Female,Sabah ,5343
2001,Female,Sarawak,5996
2001,Female,Selangor,12085
2001,Female,Terengganu,3753
2001,Female,W.P. Kuala Lumpur,5076
2001,Female,W.P. Labuan,278
2001,Female,W.P. Putrajaya,0
2001,Male,Malaysia,43559
2001,Male,Johor,5034
2001,Male,Kedah,3963
2001,Male,Kelantan,4197
2001,Male,Melaka,1576
2001,Male,Negeri Sembilan,1987
2001,Male,Pahang,3020
2001,Male,Perak,5139
2001,Male,Perlis,722
2001,Male,Pulau Pinang,2103
2001,Male,Sabah ,4367
2001,Male,Sarawak,4105
2001,Male,Selangor,3442
2001,Male,Terengganu,2520
2001,Male,W.P. Kuala Lumpur,1215
2001,Male,W.P. Labuan,169
2001,Male,W.P. Putrajaya,0
2002,Female,Malaysia,78485
2002,Female,Johor,8815
2002,Female,Kedah,5880
2002,Female,Kelantan,5242
2002,Female,Melaka,2491
2002,Female,Negeri Sembilan,3782
2002,Female,Pahang,4631
2002,Female,Perak,7916
2002,Female,Perlis,995
2002,Female,Pulau Pinang,4648
2002,Female,Sabah ,5457
2002,Female,Sarawak,6183
2002,Female,Selangor,12880
2002,Female,Terengganu,4018
2002,Female,W.P. Kuala Lumpur,5278
2002,Female,W.P. Labuan,269
2002,Female,W.P. Putrajaya,0
2002,Male,Malaysia,45923
2002,Male,Johor,5215
2002,Male,Kedah,4250
2002,Male,Kelantan,4641
2002,Male,Melaka,1661
2002,Male,Negeri Sembilan,2100
2002,Male,Pahang,3161
2002,Male,Perak,5284
2002,Male,Perlis,770
2002,Male,Pulau Pinang,2217
2002,Male,Sabah ,4484
2002,Male,Sarawak,4316
2002,Male,Selangor,3642
