Country,Code,Year,Ratio
Albania,ALB,2021,96.88622
Andorra,AND,2021,97.32523
Argentina,ARG,2021,116.55945
Armenia,ARM,2021,97.30156
Australia,AUS,2021,135.52657
Austria,AUT,2021,102.30766
Azerbaijan,AZE,2021,81.65769
Bahamas,BHS,2021,62.61666
Bangladesh,BGD,2021,70.293
Barbados,BRB,2021,104.71025
Belarus,BLR,2021,95.21339
Belgium,BEL,2021,143.16351
Belize,BLZ,2021,88.74031
Benin,BEN,2021,46.07704
Bermuda,BMU,2021,80.723
Bhutan,BTN,2021,90.804
Bolivia,BOL,2021,91.49611
Bosnia and Herzegovina,BIH,2021,84.96984
Botswana,BWA,2021,70.01839
Brazil,BRA,2021,106.6519
British Virgin Islands,VGB,2021,84.10372
Bulgaria,BGR,2021,89.73564
Burkina Faso,BFA,2021,38.28987
Cambodia,KHM,2021,57.96
Cameroon,CMR,2021,45.02811
Canada,CAN,2021,109.33431
Cape Verde,CPV,2021,86.4913
Cayman Islands,CYM,2021,101.50027
Central and Southern Asia (SDG),,2021,72.48922
Chad,TCD,2021,24.09186
Chile,CHL,2021,106.67352
Colombia,COL,2021,102.988
Cook Islands,COK,2021,104.51791
Costa Rica,CRI,2021,141.20271
Cote d'Ivoire,CIV,2021,57.28151
Croatia,HRV,2021,102.9841
Cuba,CUB,2021,99.63522
Cyprus,CYP,2021,102.4995
Czechia,CZE,2021,100.09785
Democratic Republic of Congo,COD,2021,56.88602
Denmark,DNK,2021,131.77202
Djibouti,DJI,2021,43.32403
Dominica,DMA,2021,87.17142
Dominican Republic,DOM,2021,75.70448
East Asia and Pacific (WB),,2021,90.56791
Eastern and South-Eastern Asia (SDG),,2021,90.37992
Ecuador,ECU,2021,99.65603
Egypt,EGY,2021,85.59242
Estonia,EST,2021,113.01091
Europe and Central Asia (WB),,2021,103.76028
Europe and Northern America (SDG),,2021,103.88063
European Union (27),,2021,106.71064
Fiji,FJI,2021,92.094
Finland,FIN,2021,143.36134
France,FRA,2021,104.41503
Gambia,GMB,2021,101.39125
Georgia,GEO,2021,105.99962
Germany,DEU,2021,101.20354
Ghana,GHA,2021,75.31326
Gibraltar,GIB,2021,121.47831
Greece,GRC,2021,105.525
Guatemala,GTM,2021,48.32254
Guinea,GIN,2021,35.955
Guyana,GUY,2021,85.51599
High income countries,,2021,105.0694
Hong Kong,HKG,2021,100.19778
Hungary,HUN,2021,99.69193
Iceland,ISL,2021,115.1563
India,IND,2021,78.063
Indonesia,IDN,2021,99.097
Ireland,IRL,2021,135.2522
Israel,ISR,2021,96.92708
Italy,ITA,2021,102.33128
Jamaica,JAM,2021,87.27764
Japan,JPN,2021,102.15538
Jordan,JOR,2021,69.51728
Kyrgyzstan,KGZ,2021,94.77061
Laos,LAO,2021,59.829
Latin America & Caribbean (WB),,2021,96.721
Latin America and the Caribbean (SDG),,2021,96.72127
Latvia,LVA,2021,105.81401
Liechtenstein,LIE,2021,118.72687
Lithuania,LTU,2021,109.32623
Lower-middle income countries,,2021,68.62913
Luxembourg,LUX,2021,106.48276
Macao,MAC,2021,88.54808
Madagascar,MDG,2021,35.145
Malawi,MWI,2021,35.573
Malaysia,MYS,2021,80.271
Malta,MLT,2021,103.09446
